i,j,height,l2,ssim_l1,ssim_with_sobel,unet_l1,resnet_l1,resnet_ssim_sobel_l1
58196,25795,6.470588235294117,0.0703941546380519,0.0763366843263308,0.0755515024065971,0.0731698746482531,0.069213893264532,0.069141852358977
58196,25796,6.470588235294119,0.0520464914540449,0.0504318426052729,0.0520844683051109,0.0516145924727122,0.0494697354733943,0.048575080931186676
58196,25797,6.470588235294117,0.1316283916433652,0.1403551424543062,0.1400227894385655,0.138046679397424,0.1358175004522005,0.1341670627395312
58196,25798,6.470588235294119,0.0598217584192752,0.0583637083570162,0.0613354171315828,0.05886963630716,0.0570454485714435,0.05654029299815496
58196,25799,6.470588235294119,0.0885084122419357,0.0915691529711087,0.0918759256601333,0.0918192540605862,0.0888028194506963,0.08707658698161443
58196,25800,6.566882559962144,0.1237567861874898,0.1272153730193773,0.1216862748066584,0.1267767176032066,0.1216993654767672,0.11681301891803741
58196,25801,6.539763322380611,0.1117575367291768,0.1095585326353709,0.103178322315216,0.1161847288409868,0.1049557154377301,0.09925945848226547
58196,25802,7.469074079364625,0.1559354364871978,0.1646685674786567,0.1512517804900805,0.1457606380184491,0.159451462328434,0.14799496034781137
58196,25803,12.369858750197189,0.1336560373504956,0.1520188748836517,0.1312925765911738,0.1304265260696411,0.1406199360887209,0.1269128074248632
58196,25804,6.470588235294118,0.1038640737533569,0.1100086321433385,0.0904596770803133,0.0961470132072766,0.1056599045793215,0.08968393256266911
58196,25805,6.470588235294118,0.0927436227599779,0.0955179606874783,0.082783430814743,0.096363844970862,0.0897170007228851,0.08202378948529561
58196,25806,6.470588235294118,0.1153264890114466,0.1229881520072619,0.1128969589869181,0.1256181026498476,0.1201000387469927,0.10985189179579417
58196,25807,6.470588235294118,0.063873798896869,0.0642848014831543,0.0660403457780679,0.0655701172848542,0.0618159820636113,0.06253689775864284
58196,25808,6.470588235294119,0.0580879387756188,0.0602373282114664,0.0589184314012527,0.0591483128567536,0.0555299955109755,0.05535514776905378
58196,25809,6.470588235294118,0.0981211364269256,0.1074397688110669,0.0987773562471071,0.1028829241792361,0.0960269620021184,0.09308144450187683
58196,25810,6.470588235294117,0.0946739315986633,0.0977569445967674,0.0911994601289431,0.0966582720478375,0.0894599581758181,0.08655876914660136
58196,25811,6.434900603840152,0.0947500144441922,0.1004253203670183,0.0954295645157496,0.0991801296671231,0.0956851194302241,0.08937762677669525
58196,25812,6.470588235294118,0.0901424388090769,0.0889659126599629,0.0879417955875396,0.0926000252366066,0.0974525660276413,0.08383666227261226
58196,25813,6.470588235294117,0.0920866007606188,0.0924176126718521,0.0867379233241081,0.0927745228012402,0.0842350845535596,0.08190971612930298
58196,25814,6.470588235294118,0.0839862624804178,0.0821544552842776,0.0811216856042544,0.0872470736503601,0.0806282659371693,0.07583461205164592
58196,25815,6.470588235294117,0.07611828794082,0.0764166563749313,0.0741766542196273,0.0789760500192642,0.0722628086805343,0.06947320451339085
58196,25816,6.470588235294118,0.0749422386288642,0.0758838728070259,0.0745107010006904,0.0775416890780131,0.0710149258375167,0.06936996430158615
58196,25817,6.470588235294118,0.0918218418955802,0.1014405240615208,0.0934088254968325,0.0946863790353139,0.0882775584856669,0.0885236884156863
58196,25818,6.470588235294118,0.1015908618768056,0.1129197428623835,0.1027770439783732,0.1072129160165786,0.1009163757165273,0.09675333648920059
58196,25819,6.470588235294117,0.0983316997687022,0.1013183891773223,0.0945289731025695,0.101133940120538,0.09461127469937,0.08857277284065883
