i,j,height
22117,39504,6.470588235294119
22117,39505,6.470588235294119
22117,39506,6.470588235294118
22117,39508,6.470588235294118
22117,39509,6.470588235294118
22117,39510,6.470588235294119
22118,39474,6.470588235294119
22118,39476,6.470588235294118
22118,39477,6.470588235294118
22118,39478,6.470588235294118
22118,39480,6.470588235294117
22118,39481,6.470588235294118
22118,39482,6.470588235294118
22118,39483,6.470588235294118
22118,39484,6.4705882352941195
22118,39485,6.470588235294119
22118,39486,6.470588235294118
22118,39487,6.470588235294118
22118,39488,6.470588235294119
22118,39490,6.470588235294118
22118,39491,6.470588235294119
22118,39492,6.470588235294117
22118,39493,6.470588235294118
22118,39494,6.4705882352941195
22118,39495,6.470588235294118
22118,39496,6.470588235294119
22118,39497,6.470588235294119
22118,39498,6.470588235294118
22118,39499,6.4705882352941195
22118,39500,6.470588235294119
22118,39501,6.470588235294118
22118,39502,6.470588235294119
22118,39503,6.470588235294118
22118,39504,6.470588235294118
22118,39505,6.470588235294119
22118,39507,6.47058823529412
22118,39508,6.470588235294119
22118,39509,6.470588235294119
22118,39510,6.470588235294118
22119,39475,6.470588235294119
22119,39476,8.713725490196078
22119,39477,13.805424608867938
22119,39478,6.470588235294118
22119,39479,6.470588235294118
22119,39480,6.470588235294119
22119,39481,6.470588235294118
22119,39482,6.470588235294118
22119,39483,6.470588235294117
22119,39484,6.470588235294118
22119,39485,6.470588235294119
22119,39486,6.470588235294119
22119,39487,6.470588235294118
22119,39488,6.470588235294118
22119,39489,6.470588235294118
22119,39491,6.470588235294118
22119,39492,6.470588235294119
22119,39493,6.470588235294119
22119,39494,6.470588235294118
22119,39495,6.470588235294119
22119,39496,6.470588235294117
22119,39497,6.470588235294118
22119,39498,6.470588235294118
22119,39499,6.470588235294118
22119,39500,6.470588235294118
22119,39501,6.470588235294118
22119,39502,6.470588235294118
22119,39503,6.470588235294118
22119,39504,6.470588235294118
22119,39505,6.470588235294118
22119,39506,6.470588235294119
22119,39507,6.470588235294118
22119,39508,6.470588235294118
22119,39509,6.4705882352941195
22119,39510,6.470588235294118
22120,39475,6.470588235294118
22120,39476,7.193747878187306
22120,39477,16.958918140075866
22120,39478,6.470588235294117
22120,39479,6.470588235294119
22120,39480,6.470588235294117
22120,39481,6.470588235294118
22120,39482,6.470588235294119
22120,39483,6.470588235294117
22120,39484,6.470588235294118
22120,39485,6.470588235294119
22120,39486,6.470588235294119
22120,39487,6.470588235294119
22120,39488,6.470588235294119
22120,39489,6.470588235294119
22120,39490,6.470588235294118
22120,39491,6.470588235294119
22120,39492,6.470588235294119
22120,39493,6.470588235294118
22120,39494,6.470588235294118
22120,39495,6.470588235294118
22120,39496,6.470588235294119
22120,39497,6.470588235294118
22120,39498,6.470588235294118
22120,39499,6.470588235294119
22120,39500,6.470588235294119
22120,39502,6.470588235294118
22120,39503,6.470588235294118
22120,39504,6.470588235294117
22120,39505,6.470588235294117
22120,39506,6.470588235294118
22120,39507,6.470588235294118
22120,39508,6.470588235294119
22120,39509,6.470588235294119
22120,39510,6.4705882352941195
22121,39474,6.470588235294117
22121,39475,6.470588235294118
22121,39476,6.470588235294118
22121,39477,6.470588235294118
22121,39478,6.470588235294118
22121,39479,6.470588235294118
22121,39480,6.470588235294118
22121,39481,6.470588235294118
22121,39482,6.470588235294118
22121,39483,6.470588235294119
22121,39484,6.470588235294118
22121,39485,6.470588235294119
22121,39486,6.470588235294118
22121,39487,6.470588235294118
22121,39488,6.470588235294119
22121,39489,6.470588235294119
22121,39490,6.470588235294119
22121,39491,6.470588235294119
22121,39492,6.470588235294119
22121,39493,6.470588235294118
22121,39494,6.470588235294118
22121,39495,6.470588235294119
22121,39496,6.470588235294119
22121,39497,6.470588235294117
22121,39498,6.470588235294118
22121,39499,6.470588235294118
22121,39500,6.470588235294119
22121,39501,6.470588235294118
22121,39502,6.470588235294118
22121,39503,6.470588235294118
22121,39504,6.470588235294118
22121,39505,6.470588235294119
22121,39506,6.470588235294119
22121,39508,6.470588235294118
22121,39509,6.470588235294118
22121,39510,6.470588235294118
22122,39474,6.470588235294119
